,times,with_viewholder
0,0,30.121992
1,1,45.338256
2,2,43.940844
3,3,45.80406
4,4,43.940844
5,5,44.406648
6,6,45.338256
7,7,37.574856
8,8,45.493524
9,9,43.47504
10,10,45.648792
11,11,33.693156
12,12,45.182988
13,13,45.338256
14,14,46.114596
15,15,45.648792
16,16,45.493524
17,17,46.735668
18,18,45.648792
19,19,45.648792
