,times,without_viewholder
0,0,46.114596
1,1,44.25138
2,2,45.02772
3,3,40.680216
4,4,27.482436
5,5,46.425132
6,6,45.338256
7,7,45.02772
8,8,45.182988
9,9,45.182988
10,10,45.338256
11,11,45.493524
12,12,45.80406
13,13,45.493524
14,14,45.80406
15,15,44.561916
16,16,46.114596
17,17,44.406648
18,18,40.835484
19,19,41.301288
