,times,with_handlerleak
0,0,42.232896
1,1,43.785576
2,2,43.319772
3,3,42.543432
4,4,43.164504
5,5,42.6987
6,6,43.785576
7,7,42.543432
8,8,43.164504
9,9,43.164504
10,10,42.6987
11,11,41.611824
12,12,43.009236
13,13,44.25138
14,14,42.232896
15,15,44.406648
16,16,44.096112
17,17,43.164504
18,18,42.853968
19,19,38.506464
