,times,without_usevalueof
0,0,43.785576
1,1,42.543432
2,2,43.630308
3,3,42.232896
4,4,41.456556
5,5,42.6987
6,6,41.767092
7,7,40.990752
8,8,43.164504
9,9,42.853968
10,10,43.785576
11,11,42.232896
12,12,45.02772
13,13,43.009236
14,14,42.388164
15,15,43.47504
16,16,43.47504
17,17,42.853968
18,18,39.59334000000001
19,19,43.47504
