,times,without_handlerleak
0,0,43.47504
1,1,43.630308
2,2,35.401104
3,3,42.232896
4,4,41.92236
5,5,37.885392
6,6,43.009236
7,7,34.9353
8,8,43.785576
9,9,43.940844
10,10,35.866908
11,11,43.319772
12,12,42.388164
13,13,43.785576
14,14,43.009236
15,15,40.835484
16,16,43.164504
17,17,43.009236
18,18,43.940844
19,19,43.47504
