,times,with_floatmath
0,0,41.767092
1,1,42.6987
2,2,42.6987
3,3,42.388164
4,4,43.164504
5,5,41.611824
6,6,41.767092
7,7,44.406648
8,8,42.388164
9,9,42.388164
10,10,41.92236
11,11,42.853968
12,12,42.232896
13,13,42.077628
14,14,43.319772
15,15,42.853968
16,16,43.164504
17,17,45.182988
18,18,43.785576
19,19,44.25138
