,times,with_drawalloc
0,0,41.456556
1,1,42.232896
2,2,42.232896
3,3,43.940844
4,4,43.319772
5,5,42.6987
6,6,42.388164
7,7,41.301288
8,8,42.077628
9,9,42.388164
10,10,33.072084000000004
11,11,32.451012
12,12,42.077628
13,13,42.543432
14,14,42.388164
15,15,41.14602
16,16,42.077628
17,17,43.940844
18,18,41.301288
19,19,42.388164
