,times,with_usesparsearrays
0,0,47.512008
1,1,48.443616
2,2,49.530492
3,3,46.5804
4,4,48.90942
5,5,48.59888400000001
6,6,47.512008
7,7,48.75415200000001
8,8,46.5804
9,9,35.245836
10,10,46.735668
11,11,47.35674
12,12,47.512008
13,13,47.667276
14,14,48.90942
15,15,46.269864
16,16,49.530492
17,17,47.35674
18,18,43.47504
19,19,47.046204
