,times,without_drawalloc
0,0,41.92236
1,1,41.301288
2,2,42.232896
3,3,43.47504
4,4,40.990752
5,5,39.127536
6,6,42.077628
7,7,32.451012
8,8,42.543432
9,9,42.543432
10,10,42.388164
11,11,43.009236
12,12,42.232896
13,13,41.14602
14,14,41.456556
15,15,43.940844
16,16,41.301288
17,17,42.077628
18,18,43.009236
19,19,40.990752
