,times,with_recycle
0,0,41.767092
1,1,42.388164
2,2,39.59334000000001
3,3,37.885392
4,4,41.92236
5,5,41.14602
6,6,42.077628
7,7,42.853968
8,8,41.767092
9,9,42.077628
10,10,43.47504
11,11,43.164504
12,12,41.767092
13,13,38.817
14,14,43.164504
15,15,41.301288
16,16,43.164504
17,17,41.301288
18,18,43.009236
19,19,43.630308
