,times,with_usevalueof
0,0,43.785576
1,1,42.853968
2,2,42.077628
3,3,41.92236
4,4,44.096112
5,5,42.853968
6,6,42.853968
7,7,43.785576
8,8,43.319772
9,9,44.561916
10,10,44.25138
11,11,44.25138
12,12,42.543432
13,13,43.319772
14,14,43.785576
15,15,40.524948
16,16,42.388164
17,17,44.096112
18,18,43.47504
19,19,43.164504
