,times,without_recycle
0,0,41.767092
1,1,39.127536
2,2,43.009236
3,3,40.36968
4,4,41.92236
5,5,41.92236
6,6,42.388164
7,7,42.6987
8,8,42.853968
9,9,39.127536
10,10,42.388164
11,11,43.785576
12,12,42.077628
13,13,43.47504
14,14,42.388164
15,15,43.319772
16,16,42.077628
17,17,41.92236
18,18,39.438072
19,19,42.388164
